Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2008","2008","kg","0.01","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2009","2009","kg","0.01","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2010","2010","kg","0.01","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2011","2011","kg","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2012","2012","kg","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2013","2013","kg","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2003","2003","kg","7.85","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2004","2004","kg","8.05","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2005","2005","kg","8.03","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2006","2006","kg","7.6","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2007","2007","kg","7.6","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2008","2008","kg","7.51","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2009","2009","kg","7.45","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2010","2010","kg","7.43","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2011","2011","kg","7.41","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2012","2012","kg","7.57","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2013","2013","kg","7.42","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2003","2003","kg","9.57","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2004","2004","kg","7.87","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2005","2005","kg","9.32","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2006","2006","kg","8.88","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2007","2007","kg","9.1","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2008","2008","kg","8.54","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2009","2009","kg","7.14","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2010","2010","kg","6.67","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2011","2011","kg","7.11","Fc","Calculated data"
